id,parent_id,post_id
1,"",4
2,"",4
3,"",5
4,"",5
5,"",2
6,"",4
7,c_6,4
8,"",26
9,"",25
10,"",26
11,"",41
12,"",38
13,"",28
14,c_13,28
15,"",41
16,"",30
17,"",26
18,"",56
19,"",64
20,"",69
21,"",78
22,"",75
23,"",75
24,"",78
25,"",78
26,"",77
27,"",77
28,"",112
29,"",112
30,"",128
31,"",125
32,"",151
33,"",155
34,"",161
35,"",160
36,"",161
37,"",161
38,"",166
39,"",166
40,"",188
41,"",211
42,"",229
43,"",229
44,"",231
45,"",229
46,"",227
47,c_46,227
48,"",228
49,"",227
50,"",231
51,c_50,231
52,"",251
53,"",255
54,"",255
55,"",255
56,"",254
57,"",255
58,"",255
59,"",254
60,"",279
61,"",277
62,"",281
63,"",277
64,"",279
65,"",286
66,"",278
409,"",1238
67,"",286
68,"",279
69,"",308
70,"",301
71,"",301
72,"",301
73,"",301
74,"",321
75,"",321
76,"",305
77,"",298
78,"",300
79,"",308
80,"",299
81,"",301
82,"",301
83,"",303
84,c_83,303
85,"",308
86,"",321
87,"",332
88,"",328
89,"",329
90,"",324
91,"",332
92,"",346
93,"",346
94,"",348
95,"",348
96,"",366
97,"",351
98,"",351
99,"",351
100,c_99,351
407,"",1238
101,"",350
102,"",354
103,"",358
104,"",350
105,"",378
106,"",381
107,"",376
108,c_107,376
109,"",378
110,"",378
111,"",380
112,"",390
113,"",380
114,"",399
115,"",399
116,"",443
117,"",439
118,"",445
119,"",462
120,"",462
244,"",750
245,"",750
121,"",452
122,"",467
123,"",465
124,"",466
125,"",467
126,c_125,467
127,"",472
128,"",474
129,"",478
130,"",477
131,"",474
132,"",484
133,"",476
134,"",475
135,"",479
136,c_135,479
137,c_135,479
138,c_135,479
139,"",478
140,"",491
141,"",475
142,"",476
143,"",510
144,"",507
145,"",506
146,"",497
147,"",500
166,"",547
167,"",548
168,"",584
148,"",498
149,"",516
150,"",507
151,"",531
152,"",522
153,c_152,522
154,"",522
155,c_154,522
156,c_154,522
157,"",522
158,"",523
159,"",524
160,"",525
161,"",539
162,c_161,539
163,"",526
164,"",551
165,"",548
169,"",584
170,"",573
171,"",576
172,"",577
173,"",583
174,"",584
175,"",584
176,"",597
177,"",599
178,"",598
179,"",599
180,"",599
238,"",733
239,"",733
240,"",733
181,"",602
182,"",599
183,"",599
184,"",604
185,"",604
186,"",602
187,c_186,602
188,"",600
189,"",604
190,c_189,604
191,"",604
192,"",604
193,"",600
194,c_193,600
195,"",602
196,"",644
197,"",629
198,"",629
199,"",629
200,"",624
201,"",629
202,"",629
203,"",623
204,"",629
205,"",647
206,"",655
207,"",648
241,c_240,733
242,"",748
243,"",753
208,"",649
209,"",661
210,"",658
211,c_210,658
212,"",654
213,"",652
214,"",654
215,"",696
216,"",673
217,"",676
218,"",676
219,"",680
220,"",676
221,c_220,676
222,"",696
223,"",676
224,"",674
225,"",676
226,"",676
227,"",699
228,"",700
229,"",701
230,"",702
